name,sfr_h18,tf_type,nndist_proj,nndist_kd,tf_confidence,modelu_rcorr,econame,mu_delta,grpn,fc,logmh,grpnassoc,grp,grpradeg,grpdedeg,logmhdyn,grpsig,grprproj,logmhdynstack,logmh_e17,logmhdynh_e17,grp_e17,exth,modelg_r,extj,extk,e_uhmag,exti,ukmag,extg,2kmag,nuvmag,extz,dedeg,e_zmag,e_ukmag,e_uymag,extu,radeg,extr,e_2kmag,2jmag,r50,gmag,uymag,rmag,modelg_i,modelg_j,dgr,2hmag,imag,b_a,extnuv,r90,e_2hmag,e_imag,modelu_j,modelu_k,modelu_i,modelu_r,logmstar,e_uvm2mag,grpcz,uvm2mag,e_rmag,absrmag,modelg_k,zmag,extuvm2,exty,e_umag,cz,e_nuvmag,e_2jmag,e_gmag,uhmag,umag,fl_insample,ef21corr_rand,f21corr,f21,limflagmhi,confused,deconf_mode,ef21corr_sys,hitelescope,rms_hi,e_f21,dens_corr_b,f_s16sample_s,dens_corr_s,groupmass_b,groupid_b,dist_b,dens_b,f_dist_s,dist_s,f_s16sample_b,groupid_s,groupmass_s,dens_s,f_dist_b
rf0020,0.00550085,0,0.0,0.0292117097406,0,1.85296,notineco,8.32943,3.0,0,12.1659,4.0,14.0,5.21214,0.887275,12.65,109.42,0.161,12.46,12.17,12.16,14.0,0.01,0.6,0.02,0.01,0.21,0.05,15.35,0.09,-99.0,21.9,0.03,0.83353957,0.06,0.33,0.72,0.12,5.2621293,0.06,-99.0,-99.0,3.98,18.21,16.42,17.57,0.86,2.05,-0.01,-99.0,17.26,0.43,0.21,9.87,-99.0,0.02,3.37,4.13,2.19,1.93,8.69,-99.0,5736.92,-99.0,0.02,-17.07,2.81,17.03,0.22,0.03,0.04,5761.6,0.35,-99.0,0.02,15.77,19.58,1,0.0,0.0,0.03,1,0,0,0.0,AO,0.25,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0021,0.02622509,0,0.27239001,1.62100794225,0,2.29446,notineco,9.64892,1.0,1,11.5089,1.0,16.0,5.397,1.1656,NaN,NaN,NaN,NaN,11.51,11.35,16.0,0.01,0.76,0.02,0.01,0.04,0.05,11.69,0.09,11.67,20.36,0.03,1.1656492,0.02,0.02,0.03,0.12,5.3970879,0.06,0.02,12.64,5.24,15.27,13.08,14.5,1.12,2.51,0.0,11.9,14.12,0.33,0.21,13.2,0.03,0.02,4.1,5.02,2.7,2.35,10.21,-99.0,5617.6,-99.0,0.02,-20.08,3.43,13.82,0.22,0.03,0.03,5617.6,0.08,0.01,0.02,11.96,17.0,1,0.0,0.0,0.22,1,0,0,0.0,GBT,1.31,0.0,12.17,1,12.35,11.61,20009,1.58,11.92,1,1.23,1,10009,11.73,12.1,1
rf0022,0.00674937,0,0.43169999,0.693478080925,0,1.99736,notineco,8.94977,1.0,1,10.9799,1.0,17.0,5.4409,0.5576,NaN,NaN,NaN,NaN,10.97,11.38,17.0,0.01,0.68,0.02,0.01,0.17,0.05,14.16,0.09,14.22,21.7,0.03,0.5576056,0.02,0.14,0.19,0.12,5.4409059,0.06,0.16,15.22,3.15,17.42,15.38,16.71,0.99,2.24,-0.02,13.99,16.37,0.65,0.21,6.83,0.4,0.02,3.65,4.46,2.4,2.09,9.19,-99.0,5477.1,-99.0,0.03,-17.82,3.05,16.11,0.22,0.03,0.06,5477.1,0.1,0.11,0.02,14.26,18.94,1,0.0,0.0,0.04,1,0,0,0.0,AO,0.31,0.0,0.0,1,12.28,0.0,0,0.0,0.0,0,1.2,0,10010,11.21,12.28,0
rf0023,0.06046795,0,0.33390999,0.946324509639,0,0.930973,notineco,7.79801,1.0,1,10.8909,1.0,18.0,5.9487,-0.6615,NaN,NaN,NaN,NaN,10.88,10.73,18.0,0.01,0.3,0.02,0.01,-99.0,0.05,-99.0,0.09,-99.0,19.41,0.04,-0.6614497,0.13,-99.0,-99.0,0.13,5.9486726,0.07,-99.0,15.76,4.36,17.64,-99.0,17.26,0.5,1.74,0.01,14.77,17.07,0.76,0.23,8.78,0.47,0.02,2.7,3.58,1.45,1.26,8.41,-99.0,5562.0,-99.0,0.04,-17.31,2.63,16.93,0.23,0.03,0.05,5562.0,0.04,0.17,0.02,-99.0,18.55,1,0.0,0.0,0.17,0,0,0,0.0,AO,0.26,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0024,0.2699804,0,0.37496001,0.372285265182,0,1.13224,notineco,8.28062,1.0,1,11.2509,1.0,20.0,6.3934,0.8469,NaN,NaN,NaN,NaN,11.25,11.07,20.0,0.01,0.36,0.02,0.01,0.37,0.05,13.35,0.09,12.91,17.7,0.03,0.84689776,0.02,0.33,0.09,0.12,6.393436,0.06,0.31,13.83,6.63,15.83,14.41,15.39,0.56,1.71,-0.07,13.32,15.17,0.89,0.21,13.06,0.5,0.02,2.73,3.52,1.57,1.38,9.27,-99.0,5501.7,-99.0,0.02,-19.15,2.51,15.04,0.22,0.03,0.03,5501.7,0.02,0.13,0.02,13.59,16.88,1,0.0,0.0,1.31,0,0,0,0.0,ALFALFA,3.55,0.1,11.55,1,11.35,11.22,20010,4.55,11.39,1,3.59,1,10011,11.25,11.21,1
rf0025,0.27249265,0,0.1116,0.111287550696,0,1.3307,notineco,7.70531,1.0,1,11.3229,2.0,21.0,6.6041,1.02,NaN,NaN,NaN,NaN,11.32,11.03,21.0,0.01,0.29,0.02,0.01,0.09,0.05,13.24,0.1,13.5,17.71,0.04,1.0200539,0.05,0.33,0.16,0.13,6.6043565,0.07,0.2,13.83,17.1,15.58,14.32,15.1,0.44,1.47,-0.12,13.41,14.78,0.63,0.24,42.41,0.34,0.05,2.58,3.32,1.55,1.39,9.29,-99.0,5499.9,-99.0,0.04,-19.45,2.21,14.69,0.24,0.03,0.04,5499.9,0.02,0.36,0.06,13.4,16.59,1,0.0,0.0,1.83,0,0,0,0.0,ALFALFA,2.94,0.11,11.24,1,11.27,11.28,20011,5.34,11.03,1,4.22,1,10012,11.25,11.06,1
rf0026,0.0533152,NaN,0.30120999,0.620266713403,NaN,1.06809,notineco,8.68539,1.0,1,10.8909,1.0,22.0,6.9744,-0.9668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.29,0.02,0.01,0.36,0.04,14.89,0.08,-99.0,19.05,0.03,-0.96671962,0.03,0.48,0.13,0.1,6.9744334,0.06,-99.0,15.2,2.59,17.14,15.82,16.78,0.46,1.6,0.09,-99.0,16.6,0.79,0.18,6.73,-99.0,0.02,2.61,3.42,1.47,1.3,8.41,-99.0,4480.1,-99.0,0.02,-17.31,2.41,16.45,0.19,0.02,0.03,4480.1,0.05,0.39,0.02,14.74,18.13,0,0.0,0.0,0.62,0,0,0,0.0,GBT,1.39,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0027,0.03730954,NaN,0.30361,0.620266713403,NaN,0.958663,notineco,7.15778,1.0,1,10.7463,1.0,408.0,7.1396,-1.1802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.2,0.02,0.01,0.24,0.04,15.88,0.07,-99.0,19.43,0.03,-1.1799633,0.08,0.61,0.36,0.1,7.139569,0.05,-99.0,-99.0,7.63,17.87,16.86,17.59,0.32,1.38,-0.04,-99.0,17.45,0.25,0.17,17.37,-99.0,0.03,2.28,3.05,1.22,1.1,7.95,-99.0,4515.9,-99.0,0.02,-16.51,2.15,17.35,0.18,0.02,0.04,4515.9,0.1,-99.0,0.03,15.97,18.75,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0028,0.05188693,1,0.23783,0.237838366771,1,1.17636,notineco,7.88827,2.0,0,11.7169,2.0,24.0,7.74119,-0.353262,NaN,NaN,NaN,NaN,10.96,10.97,24.0,0.01,0.41,0.02,0.01,0.54,0.04,14.77,0.08,14.11,19.65,0.03,-0.29954972,0.03,0.36,0.14,0.11,7.682566,0.06,0.13,15.31,6.22,17.4,15.98,16.92,0.64,1.89,-0.03,-99.0,16.69,0.27,0.2,13.84,-99.0,0.02,3.04,3.92,1.79,1.55,8.77,-99.0,5975.04,-99.0,0.02,-17.8,2.77,16.48,0.2,0.03,0.03,5995.9,0.1,0.22,0.02,14.68,18.61,1,0.0,0.0,0.25,0,0,0,0.0,GBT,0.5,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rf0029,0.33712405,0,0.0,0.0196910696382,0,1.0446,notineco,8.05348,2.0,0,11.4349,3.0,25.0,7.73497,0.48215,NaN,NaN,NaN,NaN,11.44,11.36,25.0,0.02,0.24,0.03,0.01,0.56,0.06,13.75,0.11,13.61,17.69,0.04,0.5288937,0.03,0.1,0.17,0.15,7.7174579,0.08,0.09,14.31,6.81,15.98,14.96,15.65,0.39,1.45,-0.05,13.7,15.47,0.72,0.26,14.1,0.08,0.03,2.39,3.15,1.33,1.18,9.07,-99.0,5886.3,-99.0,0.02,-19.05,2.21,15.35,0.27,0.03,0.03,5880.0,0.02,0.11,0.02,14.2,16.93,1,0.14,0.77,1.09,0,1,2,0.15,ALFALFA,3.29,0.11,11.3,1,11.1,11.36,20013,8.97,11.28,1,7.97,1,10014,11.36,11.04,1
rf0030,0.25171718,NaN,0.14613999,0.146423531927,NaN,1.17549,notineco,9.20189,2.0,1,11.4349,3.0,25.0,7.73497,0.48215,NaN,NaN,NaN,NaN,11.44,11.36,25.0,0.02,0.4,0.03,0.01,0.19,0.06,13.08,0.11,12.69,18.01,0.04,0.43559649,0.02,0.38,0.14,0.15,7.752697,0.08,0.21,14.35,4.49,16.01,14.56,15.55,0.61,1.77,0.05,13.53,15.28,0.68,0.26,16.08,0.14,0.02,2.81,3.61,1.65,1.44,9.39,-99.0,5886.3,-99.0,0.04,-19.15,2.57,15.1,0.27,0.03,0.03,5892.6,0.03,0.05,0.03,13.42,17.05,1,0.0,0.0,1.07,0,0,0,0.0,ALFALFA,2.72,0.09,11.3,1,11.1,11.36,20013,8.97,11.28,1,7.97,1,10014,11.36,11.04,1
